id,name,country,type,subtype,claim_tco2_yr,aoi_or_loc,metric_pre,metric_post,metric_change_pct,implied_claimed,implied_observed,ratio_obs_to_claim,n_observations,implied_capture_rate,severity,scan_status
879,Wewoka Small Scale Landfill Gas Recovery and Thermal Energy Generation Project,United States,methane,Energy industries (renewable/n,26697,"35.180,-96.546",,,,108.84295499021526,,,0,,no_observations,ok
5,Greater Lebanon Refuse Authority Landfill Gas Collection and Combustion Project,United States,methane,Energy industries (renewable/n,25600,"40.366,-76.493",,,,104.37051532941945,,,0,,no_observations,ok
491,"Bionersis landfill  project in Pasto, Colombia",Colombia,methane,Waste handling and disposal,24905,"1.277,-77.262",,,,101.5370189171559,,,0,,no_observations,ok
4950,Berglandmilch Cooperative Grouped Project: Reduction of methane emissions in the Austrian Dairy Sector,Austria,methane,"Livestock, enteric fermentatio",24369,"48.124,14.758",,,,99.35176125244618,,,0,,no_observations,ok
3891,Enteric fermentation emissions' reduction program of Uruguay,Uruguay,methane,"Livestock, enteric fermentatio",23653,"-33.442,-56.850",,,,96.43264840182648,,,0,,no_observations,ok
440,Infra-Red Automatic Refrigerant Leak Detection Efficiency Project,United States,methane,Fugitive emissions from produc,23000,"40.551,-79.866",,,,93.77038486627528,,,0,,no_observations,ok
24,AWMS METHANE RECOVERY PROJECT BR06-S-29,Brazil,methane,Waste handling and disposal,22819,"-22.710,-49.220",,,,93.03245270711024,,,0,,no_observations,ok
19,AWMS METHANE RECOVERY PROJECT BR06-S-24,Brazil,methane,Waste handling and disposal,21280,"-14.159,-57.001",,,,86.7579908675799,,,0,,no_observations,ok
4,AWMS METHANE RECOVERY PROJECT BR06-S-19,Brazil,methane,Waste handling and disposal,19989,"-17.971,-51.177",,,,81.49461839530333,,,0,,no_observations,ok
1888,Larimer County Landfill Gas Flaring Project,United States,methane,Waste handling and disposal,18637,"40.504,-105.125",,,,75.98255055446836,,,0,,no_observations,ok
1144,Composting Project in Santa Catarina,Brazil,methane,Waste handling and disposal,18077,"-26.906,-51.302",,,,73.69944553163731,,,0,,no_observations,ok
18,AWMS METHANE RECOVERY PROJECT BR06-S-21,Brazil,methane,Waste handling and disposal,17918,"-16.700,-47.577",,,,73.0512067840835,,,0,,no_observations,ok
1919,Adeco Agropecuaria S.A. Biogas Energy Generation from Dairy Production,Argentina,methane,Energy industries (renewable/n,17405,"-34.237,-62.048",,,,70.95971950424006,,,0,,no_observations,ok
5286,Saytek Plastic Recycling Facility,Turkey,methane,Waste handling and disposal,16573,"40.837,30.953",,,,67.56767775603392,,,0,,no_observations,ok
5089,A-Gas South Africa 1,South Africa,methane,Fugitive emissions from produc,16315,"-25.941,28.233",,,,66.51581865622963,,,0,,no_observations,ok
50,Willow Creek Dairy Farm Project,United States,methane,Waste handling and disposal,16018,"45.721,-119.878",,,,65.30495759947814,,,0,,no_observations,ok
448,Methane Capture and Destruction at Simplot's Moses Lake Wastewater Treatment Facility,United States,methane,Energy industries (renewable/n,15851,"47.127,-119.157",,,,64.62410306588389,,,0,,no_observations,ok
353,Composting of Municipal organic waste in Mahajanga (Madagascar),Madagascar,methane,Waste handling and disposal,14948,"-15.702,46.364",,,,60.942596216568816,,,0,,no_observations,ok
640,Flathead Electric Cooperative Landfill Gas to Energy Project,United States,methane,Energy industries (renewable/n,14510,"48.309,-114.339",,,,59.15688193085454,,,0,,no_observations,ok
21,AWMS METHANE RECOVERY PROJECT BR06-S-26,Brazil,methane,Waste handling and disposal,12411,"-18.959,-49.611",,,,50.59931506849315,,,0,,no_observations,ok
22,AWMS METHANE RECOVERY PROJECT BR06-S-27,Brazil,methane,Waste handling and disposal,11001,"-16.485,-48.980",,,,44.850782778864975,,,0,,no_observations,ok
290,Lee County Waste To Energy Facility 2007 Capital Expansion Project VCU,United States,methane,Energy industries (renewable/n,10864,"26.635,-81.763",,,,44.29223744292238,,,0,,no_observations,ok
642,West Star North Dairy,United States,methane,"Livestock, enteric fermentatio",10341,"35.486,-119.455",,,,42.15998043052838,,,0,,no_observations,ok
2535,Skyridge Farms Advanced Solid Separation Project,United States,methane,"Livestock, enteric fermentatio",10000,"46.399,-120.020",,,,40.76973255055447,,,0,,no_observations,ok
992,The Capture and Utilisation of Methane at the GFI Mining South Africa owned Beatrix Mine in South Africa,South Africa,methane,Fugitive emissions from produc,9643,"-28.262,26.785",,,,39.31425309849968,,,0,,no_observations,ok
634,Bos Dairy Farm Project,United States,methane,"Livestock, enteric fermentatio",8200,"36.164,-119.233",,,,33.431180691454664,,,0,,no_observations,ok
775,Northeast Farm Separation Project – Phase 1,United States,methane,Waste handling and disposal,7239,"39.821,-77.917",,,,29.51320939334638,,,0,,no_observations,ok
956,"Anaerobic digestion at Animalia Genetics Ltd., Cyprus",Cyprus,methane,"Livestock, enteric fermentatio",6390,"35.012,33.315",,,,26.051859099804304,,,0,,no_observations,ok
888,"Anaerobic digestion at Armenis Farm Ltd., Cyprus",Cyprus,methane,"Livestock, enteric fermentatio",5956,"34.759,33.210",,,,24.28245270711024,,,0,,no_observations,ok
632,JR Dairy Farm Project,United States,methane,"Livestock, enteric fermentatio",5794,"36.035,-119.340",,,,23.621983039791257,,,0,,no_observations,ok
4145,BLACK SOLDIER FLY COMMERCIAL FARMING PROJECT,Tanzania,methane,Waste handling and disposal,5245,"-3.404,36.713",,,,21.38372472276582,,,0,,no_observations,ok
439,Yingpeng HFC23 Decompostion Project,China,methane,Fugitive emissions from produc,7865277,"28.897,120.009",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4531,Reducing Gas Leakages within the Hududgaz Gas Distribution Networks across Uzbekistan,Uzbekistan,methane,Fugitive emissions from fuels ,7354473,"41.286,69.233",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2930,Reducing Gas Leakages within the Titas Gas Distribution Network in Bangladesh,Bangladesh,methane,Fugitive emissions from fuels ,3289487,"23.700,90.983",,,,,,,,,outside_cm_coverage,outside_cm_coverage
929,Energy Efficiency and Solid Waste Diversion Activities within the Quebec Sustainable Community,Canada,methane,Energy demand; Waste handling ,2285200,"52.940,-73.549",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2603,Composting of organic waste project in Guangxi,China,methane,Waste handling and disposal,1527835,"23.655,107.143",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2736,Reducing Gas Leakages within the Bakhrabad Gas Distribution Network in Bangladesh,Bangladesh,methane,Fugitive emissions from fuels ,1387409,"23.450,91.211",,,,,,,,,outside_cm_coverage,outside_cm_coverage
