ticker,quarter,employer,status,visa,title,soc,wage_annual,wage_level,state,positions
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Consultant 2,Computer Systems Engineers/Architects,94682,II,NJ,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,62837,II,TN,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,108514,III,GA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,118456,III,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Consultant 3,Computer Systems Engineers/Architects,118456,III,TX,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Manager,Computer Systems Analysts,144227,IV,OR,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Software Quality Assurance Analyst and Tester,Software Quality Assurance Analysts and Testers,71781,II,IN,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,93538,II,AZ,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,ETL Lead,Information Technology Project Managers,114351,III,NC,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,72779,II,NY,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Software Developer,Software Developers,179712,IV,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Design Lead,Mechanical Engineers,98987,II,CA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 1,Information Technology Project Managers,92581,II,TX,5
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 2,Information Technology Project Managers,115835,III,CA,5
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Project Lead L1,Information Technology Project Managers,92394,II,NJ,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Mgr. JC50 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,91270,III,OH,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,System Administrator,Network and Computer Systems Administrators,86029,II,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Associate JC60 -Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,94682,II,NJ,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,SW/App/Cloud Tech Support Manager,Information Technology Project Managers,141700,IV,IL,1
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Architect,Computer Systems Engineers/Architects,89149,II,IL,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Systems Analysts,Computer Systems Analysts,89483,II,VA,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Software Developer,Software Developers,109283,II,GA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Mgr. JC50 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,110198,III,TX,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Test Automation Lead,Software Quality Assurance Analysts and Testers,97365,III,GA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,150405,III,CA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,SA JC60 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,82077,II,MA,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Systems Engineer/Architect,Computer Systems Engineers/Architects,118852,III,AZ,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,93538,II,AZ,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Project Lead 2,Information Technology Project Managers,115835,III,CA,5
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Technical Product Manager,Information Technology Project Managers,148000,II,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Mgr. JC50 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,102669,III,NC,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,115336,III,OH,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 1,Computer Systems Engineers/Architects,80974,II,TX,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,114796,II,CA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Consultant 2,Computer Systems Analysts,98925,II,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Technical Architect,Computer Systems Engineers/Architects,143251,II,CA,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Applications Consultant 3,Software Developers,160805,III,NJ,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,Software Systems Engineer,Software Developers,101850,II,FL,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Project Lead 1,Information Technology Project Managers,94682,II,NJ,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Project Management Specialists,Project Management Specialists,150550,IV,WA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,86445,II,GA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Senior Technology Architect - US,Computer Systems Engineers/Architects,115336,III,OH,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,76606,II,OH,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Programmer,Computer Programmers,79435,II,FL,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Techno Functional Consultant L2,Computer Systems Analysts,103917,II,NJ,1
HCLTECH,FY2025_Q4,HCL GLOBAL SYSTEMS INC,Certified,H-1B,SR. SOFTWARE DEVELOPER,Software Developers,138258,III,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,92581,II,TX,1
