cusip,issuer,county,coupon,maturity,px,ytw,tey_aftertax,demin_breach,ai_insulation,fire_score,fire_tail,fire_worst_tract,seismic_ss,fault_zone,hazard_tier,credit_score,cert_status,n365,two_sided_days,uw_verdict,in_book
000416V38,ABC Unified,Los Angeles,3.0,2036-08-01,94.681,0.03595,0.068,True,99.2,11.8,0.0,Very Low,1.78,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),39,4,REVIEW,False
000416V53,ABC Unified,Los Angeles,3.0,2038-08-01,88.962,0.03981,0.0739,True,99.2,11.8,0.0,Very Low,1.78,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),57,3,REVIEW,False
010824LZ1,Alameda Unified,Alameda,3.0,2036-08-01,93.728,0.0375,0.0698,True,99.2,22.9,0.0,Very Low,1.77,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),35,4,REVIEW,False
010824LZ1 010824MA5 010824MB3 010824MD9 01112CCR5 032591TU3 084154C68 084154C76 142665GR3 142665GT9 142665GV4 26362VKS6 26362VMK1 26362VRW0 26362VRX8 271014D33 275282MQ1 275282MR9 357155AJ9 357155AM2 357172F34 399262LZ5 399262MA9 399262MD3 417123FR2 417123GM2 59266TMA6 604617AY6 672325J24 672325ZG5 677765EM7 680799EE9 68881TBH9 728835C98 728835E88 728835F46 7973558C1 797356BU5 797508GS1 797508JL3 797508JM1 797683HC6 79771TNP8 798492PN8 798492QA5 799017SW9 799017WT1 801495W40 801495W65 801495W73 801495Z39 801495Z47 817409H32 9523473H3 9523473K6 9523473L4 9523474G4 9523474H2 9523474K5 9523476G2 9523476K3 979585BP0 979585BZ8 988176HR7,,,,,,,,,99.2,,,,,,UNZONED,88,UNRESOLVED,,,FLAG,False
010824LZ1 010824MA5 010824MB3 010824MD9 01112CCR5 032591TU3 084154C68 084154C76 142665GR3 142665GT9 142665GV4 26362VKS6 26362VMK1 26362VRW0 26362VRX8 275282MQ1 275282MR9 357155AJ9 357155AM2 357172F34 399262LZ5 399262MA9 399262MD3 672325J24 672325ZG5 728835C98 728835E88 728835F46 7973558C1 797356BU5 797508GS1 797508JL3 797508JM1 797683HC6 79771TNP8 798492PN8 798492QA5 799017SW9 799017WT1 801495W40 801495W65 801495W73 801495Z39 801495Z47 817409H32 9523473H3 9523473K6 9523473L4 9523474G4 9523474H2 9523474K5 9523476G2 9523476K3,,,,,,,,,99.2,,,,,,UNZONED,88,UNRESOLVED,,,FLAG,False
010824MA5,Alameda Unified,Alameda,3.0,2037-08-01,90.87,0.04019999999999999,0.0735,True,99.2,22.9,0.0,Very Low,1.77,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),24,5,REVIEW,False
010824MB3,Alameda Unified,Alameda,3.0,2038-08-01,90.115,0.04025,0.0739,True,99.2,22.9,0.0,Very Low,1.77,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),15,2,REVIEW,False
010824MD9,Alameda Unified,Alameda,3.0,2042-08-01,86.179,0.04644,0.0816,True,99.2,22.9,0.0,Very Low,1.77,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),14,1,REVIEW,False
01112CCR5,essential-service water/wastewater revenue,,3.0,2039-06-01,93.393,0.03634,0.0688,True,,,,,,,UNZONED,,N/A-REVENUE,35,7,CLEAR,False
01112CCR5 050002AW4 055047BJ2 13050TBA5 218385BT8 21931DAX9 271014D33 271014D58 271014D66 27677SCN1 49228YAV0 49228YAX6 587616CP6 587619BF3 59266TMA6 607767AV2 671890AV3 675413DE5 680799EE9 68442CBH8 68881TBH9 69674TCB0 69674TCP9 769076VE7 799016FM7 802199AJ8 80234TBP0 835577LC9 835577LE5 84247PMB4 84251KAX3 870441DF6 899124LL3 899124LN9 919259CP4 956409AW6 979585BP0 979585BZ8,,,,,,,,,99.2,,,,,,UNZONED,88,UNRESOLVED,,,FLAG,False
01112CCR5 13050TBA5 21931DAX9 271014D33 27677SCN1 59266TMA6 671890AV3 675413DE5 680799EE9 68881TBH9 802199AJ8 835577LC9 835577LE5 919259CP4 956409AW6 979585BP0 979585BZ8,,,,,,,,,99.2,,,,,,UNZONED,88,UNRESOLVED,,,FLAG,False
012104QQ1,Albany City Unified,Alameda,3.0,2045-08-01,77.2,0.04836,0.0876,True,99.2,21.5,0.0,Very Low,2.4,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),53,1,REVIEW,True
021321LS1,Alta Loma Elementary,San Bernardino,4.0,2045-08-01,99.862,0.03971,0.0798,False,99.2,54.4,0.403,Very High,1.95,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,UNRESOLVED-AMBIG,203,7,FLAG,False
032555NK6,Anaheim Elementary,Orange,3.0,2046-08-01,78.837,0.04627,0.0847,True,99.2,2.4,0.0,Very Low,1.67,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),327,35,REVIEW,False
032555PH1,Anaheim Elementary,Orange,4.0,2039-08-01,100.172,0.03848,0.0773,False,99.2,2.4,0.0,Very Low,1.67,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,24,1,FLAG,False
032555PK4,Anaheim Elementary,Orange,4.0,2041-08-01,99.973,0.03494,0.0702,False,99.2,2.4,0.0,Very Low,1.67,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,13,2,FLAG,False
032555PL2,Anaheim Elementary,Orange,4.0,2042-08-01,99.751,0.04059,0.0816,False,99.2,2.4,0.0,Very Low,1.67,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,71,5,FLAG,False
032591SV2,Anaheim Union High,Orange,4.0,2042-08-01,99.52,0.04032,0.081,False,99.2,10.0,0.0,Relatively Low,1.71,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),83,6,REVIEW,False
032591TR0,Anaheim Union High,Orange,3.0,2038-08-01,90.243,0.0369,0.0705,True,99.2,10.0,0.0,Relatively Low,1.71,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),21,3,REVIEW,False
032591TU3,Anaheim Union High,Orange,3.0,2041-08-01,83.41,0.04505,0.0814,True,99.2,10.0,0.0,Relatively Low,1.71,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),70,3,REVIEW,False
037105JT1,Antioch Unified,Contra Costa,4.0,2038-08-01,99.348,0.04019999999999999,0.0808,False,99.2,40.8,0.036,Relatively High,1.82,BAY (San Andreas N / Hayward),HIGH,90,NEGATIVE,37,2,FLAG,False
037105KT9,Antioch Unified,Contra Costa,4.0,2044-08-01,99.75,0.040839999999999994,0.0821,False,99.2,40.8,0.036,Relatively High,1.82,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),175,23,REVIEW,False
039069JG5,Arcadia Unified,Los Angeles,2.0,2037-08-01,78.945,0.04399,0.0696,True,99.2,29.6,0.181,Very High,2.18,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),20,7,REVIEW,False
050002AW4,Atwater Elementary,Merced,5.0,2040-05-01,100.888,0.03972,0.0798,False,100.0,82.9,0.048,Relatively High,0.7,CENTRAL VALLEY / SIERRA (low),LOW,90,N/A-REVENUE,65,5,FLAG,True
055047BJ2,"City of Azusa — Water System Refunding Revenue Bonds, Series 2015 — WATER REVENUE",,4.0,2039-07-01,99.92,0.04008,0.0806,,,,,,,,UNZONED,,N/A-REVENUE,60,6,CLEAR,False
057507LA1,Bakersfield City,Kern,4.0,2042-11-01,98.01,0.04059,0.0816,False,99.2,34.2,0.114,Very High,1.08,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),87,13,REVIEW,False
058219UM6,Baldwin Park Unified,Los Angeles,3.0,2046-08-01,76.654,0.04646,0.086,True,99.2,28.2,0.0,Relatively Low,1.9,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),43,6,REVIEW,True
069077FZ3,Barstow Unified,San Bernardino,3.3,2039-08-01,93.108,0.03965,0.0754,True,99.2,65.6,0.177,Relatively High,1.53,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),15,4,REVIEW,False
070185VC4,Bassett Unified,Los Angeles,3.85,2046-08-01,93.061,0.04324,0.085,True,99.2,3.1,0.0,Very Low,1.93,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),166,36,REVIEW,False
082023PE6,Benicia Unified,Solano,3.0,2035-08-01,98.574,0.0318,0.0639,False,99.2,76.8,0.12,Relatively High,2.31,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),15,5,REVIEW,False
084154C68,Berkeley Unified,Alameda,2.0,2039-08-01,77.838,0.042140000000000004,0.0681,True,99.2,26.6,0.0,Relatively Moderate,2.28,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),39,12,REVIEW,False
084154C76,Berkeley Unified,Alameda,2.0,2040-08-01,75.047,0.043890000000000005,0.0708,True,99.2,26.6,0.0,Relatively Moderate,2.28,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),61,14,REVIEW,False
088023MT0,Beverly Hills Unified,Los Angeles,3.0,2040-08-01,89.585,0.03968,0.0735,True,99.2,49.5,0.184,Relatively High,2.39,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),96,16,REVIEW,False
127127MQ8,Cabrillo Unified,San Mateo,4.0,2043-08-01,99.984,0.03966,0.0797,False,99.2,87.5,0.365,Relatively High,2.47,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),49,6,FLAG,False
127127RW0,Cabrillo Unified,San Mateo,4.0,2045-08-01,97.24,0.04057,0.0815,False,99.2,87.5,0.365,Relatively High,2.47,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),57,2,FLAG,False
13050TBA5,essential-service water/wastewater revenue,,4.0,2041-08-01,99.45,0.040119999999999996,0.0806,False,,,,,,,UNZONED,,N/A-REVENUE,60,8,CLEAR,False
142665GN2,Carlsbad Unified,San Diego,3.0,2035-08-01,94.618,0.03743,0.0695,True,99.2,73.2,0.0,Relatively Moderate,1.1,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),36,3,CLEAR,False
142665GP7,Carlsbad Unified,San Diego,3.0,2036-08-01,95.25,0.03562,0.0674,True,99.2,73.2,0.0,Relatively Moderate,1.1,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),22,1,CLEAR,False
142665GR3,Carlsbad Unified,San Diego,3.0,2038-08-01,92.836,0.0374,0.07,True,99.2,73.2,0.0,Relatively Moderate,1.1,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),35,1,CLEAR,False
142665GT9,Carlsbad Unified,San Diego,3.0,2040-08-01,87.941,0.04103,0.0755,True,99.2,73.2,0.0,Relatively Moderate,1.1,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),50,2,CLEAR,False
142665GV4,Carlsbad Unified,San Diego,3.0,2046-08-01,80.964,0.04439,0.0818,True,99.2,73.2,0.0,Relatively Moderate,1.1,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),45,6,CLEAR,False
148371BY2,Castaic Union,Los Angeles,4.0,2042-08-01,98.453,0.04293,0.0863,False,99.2,98.2,0.932,Very High,2.42,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),22,5,FLAG,False
152339PY7,Centinela Valley Union High,Los Angeles,4.0,2041-08-01,99.474,0.040650000000000006,0.0817,False,99.2,2.3,0.0,Very Low,2.06,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),139,16,REVIEW,False
152339QG5,Centinela Valley Union High,Los Angeles,3.0,2041-08-01,85.702,0.04294,0.0783,True,99.2,2.3,0.0,Very Low,2.06,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),105,17,REVIEW,False
152339QJ9,Centinela Valley Union High,Los Angeles,3.0,2044-08-01,82.507,0.0433,0.08,True,99.2,2.3,0.0,Very Low,2.06,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),279,48,REVIEW,False
156753RK3,Ceres Unified,Stanislaus,4.0,2044-08-01,98.808,0.04093,0.0823,False,99.2,52.8,0.151,Relatively High,0.8,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),27,4,REVIEW,False
156792MJ9,CERRITOS CCD-A,,4.0,2043-08-01,101.131,0.038220000000000004,0.0768,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,113,7,CLEAR,False
156792MK6,CERRITOS CCD-A,,4.0,2044-08-01,101.273,0.03814,0.0767,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,111,9,CLEAR,False
156792NF6,CERRITOS CCD-REF,,4.0,2043-08-01,100.946,0.03558,0.0715,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,127,17,CLEAR,False
168520PA6,Chico Unified,Butte,3.0,2044-08-01,79.042,0.0473,0.0856,True,99.2,62.6,0.292,Very High,0.93,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),125,2,REVIEW,True
168520PY4,Chico Unified,Butte,4.0,2044-08-01,99.157,0.03944,0.0793,False,99.2,62.6,0.292,Very High,0.93,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),77,14,REVIEW,False
169583GZ8,Chino Valley Unified,San Bernardino,4.0,2045-08-01,99.144,0.0401,0.0806,False,99.2,78.5,0.354,Very High,1.95,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),316,26,FLAG,False
171314KZ9,Chula Vista Elementary,San Diego,4.0,2042-08-01,100.522,0.0365,0.0734,False,99.2,54.4,0.243,Very High,1.11,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),47,1,REVIEW,False
171314LA3,Chula Vista Elementary,San Diego,4.0,2043-08-01,100.824,0.03976,0.0799,False,99.2,54.4,0.243,Very High,1.11,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),54,9,REVIEW,False
171314LB1,Chula Vista Elementary,San Diego,4.0,2044-08-01,100.065,0.03989,0.0802,False,99.2,54.4,0.243,Very High,1.11,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),114,3,REVIEW,True
17132CCV8,Chula Vista Elementary,San Diego,4.0,2041-08-01,99.05,0.040839999999999994,0.0821,False,99.2,54.4,0.243,Very High,1.11,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),57,5,REVIEW,False
17132CDL9,Chula Vista Elementary,San Diego,4.0,2041-08-01,99.132,0.04077,0.0819,False,99.2,54.4,0.243,Very High,1.11,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),342,20,REVIEW,False
18979PCJ0,essential-service water/wastewater revenue,,4.0,2042-08-01,101.073,0.03767,0.0757,False,,,,,,,UNZONED,,N/A-REVENUE,25,1,UNSCREENED,False
19428UFX0,SEQUOIAS CMNTY CLG DT,,4.0,2046-08-01,99.995,0.04,0.0804,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,88,3,CLEAR,False
204709HJ1,COMPTON CMNTY CLG-A,,4.0,2043-08-01,100.12,0.04054,0.0815,False,99.2,4.5,0.0,Very Low,,,UNZONED,90,CC-ACCREDITED,110,13,CLEAR,False
212218UX7,essential-service water/wastewater revenue,,4.0,2046-10-01,99.063,0.0391,0.0786,False,,,,,,,UNZONED,,N/A-REVENUE,108,14,UNSCREENED,False
218385BT8,Corona-Norco Unified,Riverside,4.0,2035-07-01,99.9,0.03934,0.0791,,,74.2,0.426,Very High,1.98,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,N/A-REVENUE,13,2,FLAG,False
218385BV3,Corona-Norco Unified,Riverside,3.0,2041-07-01,84.879,0.04306,0.0788,True,,74.2,0.426,Very High,1.98,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,N/A-REVENUE,32,8,UNSCREENED,False
218385BW1,Corona-Norco Unified,Riverside,3.0,2046-07-01,78.796,0.04627,0.0847,True,,74.2,0.426,Very High,1.98,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,N/A-REVENUE,75,13,UNSCREENED,False
21931DAX9,Corning Union High,Tehama,4.0,2042-09-01,98.221,0.0415,0.0834,False,,,,,0.95,OTHER CA,MID,90,N/A-REVENUE,21,3,CLEAR,False
219764RB5,Corona-Norco Unified,Riverside,4.0,2043-08-01,99.484,0.0404,0.0812,False,99.2,74.2,0.426,Very High,1.98,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),59,4,FLAG,False
223093TK1,Covina-Valley Unified,Los Angeles,3.0,2045-08-01,78.674,0.04692,0.0854,True,99.2,43.9,0.0,Relatively Moderate,1.87,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),42,4,REVIEW,True
230345KT6,Culver City Unified,Los Angeles,4.0,2044-08-01,96.537,0.040830000000000005,0.0821,False,99.2,25.0,0.0,Relatively Low,2.26,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,84,QUALIFIED,21,4,FLAG,False
230345ND8,Culver City Unified,Los Angeles,4.0,2045-08-01,98.864,0.0405,0.0814,False,99.2,25.0,0.0,Relatively Low,2.26,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,84,QUALIFIED,169,20,FLAG,False
250375HB1,DESERT CCD-REF,,4.0,2039-08-01,99.65,0.0392,0.0788,False,99.2,61.2,0.009,Very High,,,UNZONED,90,CC-ACCREDITED,155,11,REVIEW,False
250375JN3,DESERT CCD,,2.0,2039-08-01,80.007,0.04567,0.0709,True,99.2,96.1,0.0,Relatively Moderate,,,UNZONED,90,CC-ACCREDITED,14,4,CLEAR,False
250375KU5,DESERT CMNTY CLG DT-A,,4.0,2041-08-01,99.755,0.040209999999999996,0.0808,False,99.2,96.1,0.0,Relatively Moderate,,,UNZONED,90,CC-ACCREDITED,44,4,CLEAR,False
250375MZ2,DESERT CCD,,4.0,2043-08-01,102.177,0.03605,0.0725,False,99.2,96.1,0.0,Relatively Moderate,,,UNZONED,90,CC-ACCREDITED,161,16,CLEAR,False
250375NA6,DESERT CCD,,4.0,2044-08-01,101.045,0.04045,0.0813,False,99.2,96.1,0.0,Relatively Moderate,,,UNZONED,90,CC-ACCREDITED,50,1,CLEAR,False
250375NB4,DESERT CCD,,4.0,2045-08-01,100.349,0.03943,0.0793,False,99.2,96.1,0.0,Relatively Moderate,,,UNZONED,90,CC-ACCREDITED,202,11,CLEAR,False
250469BF9,essential-service water/wastewater revenue,,3.0,2037-05-01,90.04,0.03907,0.0727,True,,,,,,,UNZONED,,N/A-REVENUE,58,4,UNSCREENED,False
261005PG1,Downey Unified,Los Angeles,4.0,2040-08-01,99.892,0.03851,0.0774,False,99.2,2.6,0.0,Very Low,1.93,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),53,4,REVIEW,False
263597SC1,Duarte Unified,Los Angeles,4.0,2044-08-01,97.895,0.04086,0.0821,False,99.2,78.6,0.237,Very High,2.02,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),98,16,REVIEW,False
26362VKS6,Dublin Unified,Alameda,3.0,2036-08-01,93.0,0.03558,0.0682,True,99.2,74.1,0.515,Relatively High,2.11,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),41,1,FLAG,False
26362VMJ4,Dublin Unified,Alameda,3.0,2036-08-01,95.269,0.035590000000000004,0.0674,True,99.2,74.1,0.515,Relatively High,2.11,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),43,7,FLAG,False
26362VMK1,Dublin Unified,Alameda,3.0,2037-08-01,92.204,0.03864,0.0715,True,99.2,74.1,0.515,Relatively High,2.11,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),62,9,FLAG,False
26362VRW0,Dublin Unified,Alameda,2.0,2035-08-01,84.593,0.03989,0.0638,True,99.2,74.1,0.515,Relatively High,2.11,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),46,9,FLAG,False
26362VRX8,Dublin Unified,Alameda,2.0,2036-08-01,82.585,0.03875,0.0632,True,99.2,74.1,0.515,Relatively High,2.11,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),112,18,FLAG,False
26362VSX7,Dublin Unified,Alameda,4.0,2044-08-01,99.928,0.04005,0.0805,False,99.2,74.1,0.515,Relatively High,2.11,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,159,15,FLAG,False
26362VSY5,Dublin Unified,Alameda,4.0,2045-08-01,98.936,0.03881,0.078,False,99.2,74.1,0.515,Relatively High,2.11,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),75,1,FLAG,False
26362VSZ2,Dublin Unified,Alameda,4.0,2046-08-01,99.275,0.040519999999999994,0.0814,False,99.2,74.1,0.515,Relatively High,2.11,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),42,7,FLAG,False
270198BY9,Earlimart Elementary,Tulare,4.0,2041-08-01,99.45,0.04,0.0804,False,99.2,90.3,0.0,Relatively Moderate,0.8,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),29,1,REVIEW,False
271014D25,essential-service water/wastewater revenue,,3.0,2036-06-01,96.95,0.03467,0.0659,True,,,,,,,UNZONED,,N/A-REVENUE,32,5,UNSCREENED,False
271014D33,essential-service water/wastewater revenue,,3.0,2037-06-01,94.633,0.0359,0.0679,True,,,,,,,UNZONED,88,N/A-REVENUE,23,5,CLEAR,False
271014D58,"East Bay Municipal Utility District (EBMUD) — Water System Revenue Bonds, Series 2017A/B (5% coupon) — WATER REVENUE",,5.0,2045-06-01,101.194,0.038,0.0764,,,,,,,,UNZONED,,N/A-REVENUE,69,6,CLEAR,False
271014D66,"East Bay Municipal Utility District (EBMUD) — Water System Revenue Bonds, Series 2017A/B — WATER REVENUE",,4.0,2045-06-01,100.23,0.03998,0.0804,,,,,,,,UNZONED,,N/A-REVENUE,178,17,CLEAR,False
275282ML2,CA school/CC district GO,,4.0,2034-08-01,99.814,0.03869,0.0778,False,99.2,,,,,,UNZONED,88,UNRESOLVED,40,5,FLAG,False
275282MQ1,CA school/CC district GO,,3.0,2038-08-01,89.63,0.04093,0.0747,True,99.2,,,,,,UNZONED,88,UNRESOLVED,40,7,FLAG,False
275282MR9,CA school/CC district GO,,3.0,2039-08-01,90.063,0.03979,0.0734,True,99.2,,,,,,UNZONED,88,UNRESOLVED,127,28,FLAG,False
275282PC9,CA school/CC district GO,,3.0,2034-08-01,95.601,0.03404,0.0657,True,99.2,,,,,,UNZONED,88,UNRESOLVED,52,4,FLAG,False
275282PD7,CA school/CC district GO,,3.0,2035-08-01,96.345,0.03469,0.0661,True,99.2,,,,,,UNZONED,88,UNRESOLVED,43,3,FLAG,False
27677SBM4,essential-service water/wastewater revenue,,4.0,2037-07-01,103.387,0.03094,0.0622,False,,,,,,,UNZONED,,N/A-REVENUE,125,4,UNSCREENED,False
27677SBN2,essential-service water/wastewater revenue,,4.0,2038-07-01,102.732,0.03154,0.0634,False,,,,,,,UNZONED,,N/A-REVENUE,114,6,UNSCREENED,False
27677SCM3,essential-service water/wastewater revenue,,4.0,2034-07-01,100.15,0.040209999999999996,0.0808,False,,,,,,,UNZONED,,N/A-REVENUE,176,31,UNSCREENED,False
27677SCN1,essential-service water/wastewater revenue,,4.0,2035-07-01,99.787,0.04018,0.0808,False,,,,,,,UNZONED,,N/A-REVENUE,142,27,CLEAR,False
282726JV1,EL CAMINO CCD-E,,4.0,2043-08-01,100.958,0.03862,0.0776,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,37,2,CLEAR,False
283353TV2,El Monte Union High,Los Angeles,4.0,2044-06-01,97.461,0.040220000000000006,0.0808,False,99.2,18.1,0.0,Relatively Low,2.09,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),46,3,REVIEW,False
283353VL1,El Monte Union High,Los Angeles,4.0,2041-06-01,98.852,0.04002,0.0804,False,99.2,18.1,0.0,Relatively Low,2.09,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),13,3,REVIEW,False
283353VM9,El Monte Union High,Los Angeles,4.0,2046-06-01,97.71,0.040069999999999995,0.0805,False,99.2,18.1,0.0,Relatively Low,2.09,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),89,11,REVIEW,False
283839ZG6,El Rancho Unified,Los Angeles,4.0,2042-08-01,98.939,0.03935,0.0791,False,99.2,20.1,0.0,Relatively Moderate,2.13,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),66,9,REVIEW,False
287281YX1,Elk Grove Unified,Sacramento,4.0,2044-08-01,99.755,0.03844,0.0773,False,99.2,54.7,0.119,Relatively High,0.63,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),106,6,CLEAR,False
291119KP9,Emery Unified,Alameda,3.0,2045-08-01,77.942,0.04768,0.0866,True,99.2,4.7,0.0,Very Low,2.06,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),32,7,REVIEW,True
29368PDR7,Enterprise Elementary,Shasta,4.0,2044-08-01,96.19,0.04062,0.0816,False,99.2,82.4,0.383,Very High,1.28,OTHER CA,MID,90,POSITIVE(absent),37,2,FLAG,False
29368PGM5,Enterprise Elementary,Shasta,4.0,2046-08-01,100.04,0.03995,0.0803,False,99.2,82.4,0.383,Very High,1.28,OTHER CA,MID,90,POSITIVE(absent),41,3,FLAG,False
296371UC9,Escondido Union,San Diego,4.0,2043-08-01,99.277,0.04041,0.0812,False,99.2,75.4,0.486,Very High,1.03,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),39,4,FLAG,False
297667AV9,Etiwanda Elementary,San Bernardino,4.0,2037-08-01,99.796,0.03531,0.071,False,99.2,73.0,0.251,Very High,2.27,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),19,3,REVIEW,False
301701EC8,Exeter Unified,Tulare,4.0,2045-08-01,99.669,0.03994,0.0803,False,99.2,89.1,0.218,Very High,0.62,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),13,2,REVIEW,False
306477NC0,Fallbrook Union High,San Diego,4.0,2046-08-01,98.466,0.043,0.0864,False,99.2,99.4,0.951,Very High,1.17,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),74,3,FLAG,False
34440PBT7,Monrovia Unified,Los Angeles,4.0,2039-10-01,99.586,0.0404,0.0812,False,99.2,50.2,0.18,Very High,2.08,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,130,16,FLAG,False
34440PBY6,Monrovia Unified,Los Angeles,4.0,2044-10-01,98.462,0.0412,0.0828,False,99.2,50.2,0.18,Very High,2.08,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,231,19,FLAG,False
