cusip,issuer,county,coupon,maturity,px,ytw,tey_aftertax,demin_breach,ai_insulation,fire_score,fire_tail,fire_worst_tract,seismic_ss,fault_zone,hazard_tier,credit_score,cert_status,n365,two_sided_days,uw_verdict,in_book
802615N26,Santa Rosa High,Sonoma,4.0,2043-08-01,99.386,0.039580000000000004,0.0796,False,99.2,69.7,0.161,Relatively High,2.49,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,89,5,FLAG,False
802615N42,Santa Rosa High,Sonoma,4.0,2042-08-01,100.246,0.03659,0.0735,False,99.2,69.7,0.161,Relatively High,2.49,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,20,1,FLAG,False
816547FY4,Selma Unified,Fresno,5.0,2042-08-01,101.728,0.03001,0.0603,False,99.2,61.9,0.0,Relatively Low,0.71,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),44,1,CLEAR,False
817409H32,Sequoia Union High,San Mateo,3.0,2043-07-01,82.85,0.04431,0.0809,True,99.2,44.1,0.105,Relatively High,2.14,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),66,10,REVIEW,True
817409K20,Sequoia Union High,San Mateo,3.0,2034-07-01,98.485,0.03198,0.0643,False,99.2,44.1,0.105,Relatively High,2.14,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),122,8,REVIEW,False
820174HE3,Shasta Union High,Shasta,4.0,2039-08-01,99.573,0.04029,0.081,False,99.2,89.2,0.619,Very High,1.27,OTHER CA,MID,90,POSITIVE(absent),14,3,FLAG,False
82707BCX5,essential-service water/wastewater revenue,,4.0,2040-08-01,100.004,0.03703,0.0744,False,,,,,,,UNZONED,,N/A-REVENUE,20,1,UNSCREENED,False
83412PFE7,SOLANO CO CCD-C,,4.0,2046-08-01,99.75,0.04009,0.0806,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,109,13,CLEAR,False
83412PJW3,SOLANO CMNTY CLG DT-F,,4.0,2043-08-01,101.495,0.03764,0.0757,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,28,7,CLEAR,False
83421JCF0,Soledad Unified,Monterey,4.0,2044-08-01,99.245,0.04099,0.0824,False,99.2,80.3,0.347,Relatively High,1.5,OTHER CA,MID,90,POSITIVE(absent),62,2,FLAG,False
835577LC9,Sonoma County ROP,Sonoma,4.0,2043-07-01,98.503,0.04015,0.0807,False,,,,,1.96,BAY (San Andreas N / Hayward),HIGH,90,N/A-REVENUE,14,3,CLEAR,False
835577LE5,Sonoma County ROP,Sonoma,4.0,2045-07-01,98.292,0.041299999999999996,0.083,False,,,,,1.96,BAY (San Andreas N / Hayward),HIGH,90,N/A-REVENUE,21,7,CLEAR,False
835631NR9,Sonoma Valley Unified,Sonoma,4.0,2044-08-01,96.418,0.04014,0.0807,False,99.2,92.7,0.622,Relatively High,2.12,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,59,4,FLAG,False
835648AP1,CA school/CC district GO,,4.0,2042-08-01,100.006,0.04095,0.0823,False,,,,,,,UNZONED,,,40,7,UNSCREENED,False
835648BJ4,CA school/CC district GO,,4.0,2045-08-01,98.109,0.04088,0.0822,False,,,,,,,UNZONED,,,61,2,UNSCREENED,False
